startDateTime,endDateTime,SHFMean,SHFMinimum,SHFMaximum,SHFVariance,SHFNumPts,SHFExpUncert,SHFStdErMean,finalQF
"2021-07-05T19:00:00Z","2021-07-05T19:30:00Z",9.145,8.947,9.223,0.006,180,0.286,0.006,0
"2021-07-05T19:30:00Z","2021-07-05T20:00:00Z",9.018,8.837,9.200,0.012,180,0.282,0.008,0
"2021-07-05T20:00:00Z","2021-07-05T20:30:00Z",9.039,8.813,9.633,0.055,180,0.285,0.018,0
"2021-07-05T20:30:00Z","2021-07-05T21:00:00Z",10.681,9.635,11.534,0.333,180,0.342,0.043,0
"2021-07-05T21:00:00Z","2021-07-05T21:30:00Z",11.583,11.544,11.622,0.001,16,0.357,0.006,1
"2021-07-05T21:30:00Z","2021-07-05T22:00:00Z",,,,,,,,1
"2021-07-05T22:00:00Z","2021-07-05T22:30:00Z",,,,,,,,1
"2021-07-05T22:30:00Z","2021-07-05T23:00:00Z",,,,,,,,1
"2021-07-05T23:00:00Z","2021-07-05T23:30:00Z",,,,,,,,1
"2021-07-05T23:30:00Z","2021-07-06T00:00:00Z",,,,,,,,1
"2021-07-06T00:00:00Z","2021-07-06T00:30:00Z",,,,,,,,1
"2021-07-06T00:30:00Z","2021-07-06T01:00:00Z",,,,,,,,1
"2021-07-06T01:00:00Z","2021-07-06T01:30:00Z",,,,,,,,1
"2021-07-06T01:30:00Z","2021-07-06T02:00:00Z",,,,,,,,1
"2021-07-06T02:00:00Z","2021-07-06T02:30:00Z",,,,,,,,1
"2021-07-06T02:30:00Z","2021-07-06T03:00:00Z",,,,,,,,1
"2021-07-06T03:00:00Z","2021-07-06T03:30:00Z",,,,,,,,1
"2021-07-06T03:30:00Z","2021-07-06T04:00:00Z",,,,,,,,1
"2021-07-06T04:00:00Z","2021-07-06T04:30:00Z",,,,,,,,1
"2021-07-06T04:30:00Z","2021-07-06T05:00:00Z",,,,,,,,1
"2021-07-06T05:00:00Z","2021-07-06T05:30:00Z",,,,,,,,1
"2021-07-06T05:30:00Z","2021-07-06T06:00:00Z",,,,,,,,1
"2021-07-06T06:00:00Z","2021-07-06T06:30:00Z",,,,,,,,1
"2021-07-06T06:30:00Z","2021-07-06T07:00:00Z",,,,,,,,1
"2021-07-06T07:00:00Z","2021-07-06T07:30:00Z",,,,,,,,1
"2021-07-06T07:30:00Z","2021-07-06T08:00:00Z",,,,,,,,1
"2021-07-06T08:00:00Z","2021-07-06T08:30:00Z",,,,,,,,1
"2021-07-06T08:30:00Z","2021-07-06T09:00:00Z",,,,,,,,1
"2021-07-06T09:00:00Z","2021-07-06T09:30:00Z",,,,,,,,1
"2021-07-06T09:30:00Z","2021-07-06T10:00:00Z",,,,,,,,1
"2021-07-06T10:00:00Z","2021-07-06T10:30:00Z",,,,,,,,1
"2021-07-06T10:30:00Z","2021-07-06T11:00:00Z",,,,,,,,1
"2021-07-06T11:00:00Z","2021-07-06T11:30:00Z",,,,,,,,1
"2021-07-06T11:30:00Z","2021-07-06T12:00:00Z",,,,,,,,1
"2021-07-06T12:00:00Z","2021-07-06T12:30:00Z",,,,,,,,1
"2021-07-06T12:30:00Z","2021-07-06T13:00:00Z",,,,,,,,1
"2021-07-06T13:00:00Z","2021-07-06T13:30:00Z",,,,,,,,1
"2021-07-06T13:30:00Z","2021-07-06T14:00:00Z",,,,,,,,1
"2021-07-06T14:00:00Z","2021-07-06T14:30:00Z",,,,,,,,1
"2021-07-06T14:30:00Z","2021-07-06T15:00:00Z",,,,,,,,1
"2021-07-06T15:00:00Z","2021-07-06T15:30:00Z",,,,,,,,1
"2021-07-06T15:30:00Z","2021-07-06T16:00:00Z",,,,,,,,1
"2021-07-06T16:00:00Z","2021-07-06T16:30:00Z",,,,,,,,1
"2021-07-06T16:30:00Z","2021-07-06T17:00:00Z",,,,,,,,1
"2021-07-06T17:00:00Z","2021-07-06T17:30:00Z",,,,,,,,1
"2021-07-06T17:30:00Z","2021-07-06T18:00:00Z",,,,,,,,1
"2021-07-06T18:00:00Z","2021-07-06T18:30:00Z",,,,,,,,1
"2021-07-06T18:30:00Z","2021-07-06T19:00:00Z",,,,,,,,1
"2021-07-06T19:00:00Z","2021-07-06T19:30:00Z",,,,,,,,1
"2021-07-06T19:30:00Z","2021-07-06T20:00:00Z",,,,,,,,1
"2021-07-06T20:00:00Z","2021-07-06T20:30:00Z",,,,,,,,1
"2021-07-06T20:30:00Z","2021-07-06T21:00:00Z",,,,,,,,1
"2021-07-06T21:00:00Z","2021-07-06T21:30:00Z",,,,,,,,1
"2021-07-06T21:30:00Z","2021-07-06T22:00:00Z",,,,,,,,1
"2021-07-06T22:00:00Z","2021-07-06T22:30:00Z",,,,,,,,1
"2021-07-06T22:30:00Z","2021-07-06T23:00:00Z",,,,,,,,1
"2021-07-06T23:00:00Z","2021-07-06T23:30:00Z",,,,,,,,1
"2021-07-06T23:30:00Z","2021-07-07T00:00:00Z",,,,,,,,1
"2021-07-07T00:00:00Z","2021-07-07T00:30:00Z",,,,,,,,1
"2021-07-07T00:30:00Z","2021-07-07T01:00:00Z",,,,,,,,1
"2021-07-07T01:00:00Z","2021-07-07T01:30:00Z",,,,,,,,1
"2021-07-07T01:30:00Z","2021-07-07T02:00:00Z",,,,,,,,1
"2021-07-07T02:00:00Z","2021-07-07T02:30:00Z",,,,,,,,1
"2021-07-07T02:30:00Z","2021-07-07T03:00:00Z",,,,,,,,1
"2021-07-07T03:00:00Z","2021-07-07T03:30:00Z",,,,,,,,1
"2021-07-07T03:30:00Z","2021-07-07T04:00:00Z",,,,,,,,1
"2021-07-07T04:00:00Z","2021-07-07T04:30:00Z",,,,,,,,1
"2021-07-07T04:30:00Z","2021-07-07T05:00:00Z",,,,,,,,1
"2021-07-07T05:00:00Z","2021-07-07T05:30:00Z",,,,,,,,1
"2021-07-07T05:30:00Z","2021-07-07T06:00:00Z",,,,,,,,1
"2021-07-07T06:00:00Z","2021-07-07T06:30:00Z",,,,,,,,1
"2021-07-07T06:30:00Z","2021-07-07T07:00:00Z",,,,,,,,1
"2021-07-07T07:00:00Z","2021-07-07T07:30:00Z",,,,,,,,1
"2021-07-07T07:30:00Z","2021-07-07T08:00:00Z",,,,,,,,1
"2021-07-07T08:00:00Z","2021-07-07T08:30:00Z",,,,,,,,1
"2021-07-07T08:30:00Z","2021-07-07T09:00:00Z",,,,,,,,1
"2021-07-07T09:00:00Z","2021-07-07T09:30:00Z",,,,,,,,1
"2021-07-07T09:30:00Z","2021-07-07T10:00:00Z",,,,,,,,1
"2021-07-07T10:00:00Z","2021-07-07T10:30:00Z",,,,,,,,1
"2021-07-07T10:30:00Z","2021-07-07T11:00:00Z",,,,,,,,1
"2021-07-07T11:00:00Z","2021-07-07T11:30:00Z",,,,,,,,1
"2021-07-07T11:30:00Z","2021-07-07T12:00:00Z",,,,,,,,1
"2021-07-07T12:00:00Z","2021-07-07T12:30:00Z",,,,,,,,1
"2021-07-07T12:30:00Z","2021-07-07T13:00:00Z",,,,,,,,1
"2021-07-07T13:00:00Z","2021-07-07T13:30:00Z",,,,,,,,1
"2021-07-07T13:30:00Z","2021-07-07T14:00:00Z",,,,,,,,1
"2021-07-07T14:00:00Z","2021-07-07T14:30:00Z",,,,,,,,1
"2021-07-07T14:30:00Z","2021-07-07T15:00:00Z",,,,,,,,1
"2021-07-07T15:00:00Z","2021-07-07T15:30:00Z",,,,,,,,1
"2021-07-07T15:30:00Z","2021-07-07T16:00:00Z",,,,,,,,1
"2021-07-07T16:00:00Z","2021-07-07T16:30:00Z",,,,,,,,1
"2021-07-07T16:30:00Z","2021-07-07T17:00:00Z",,,,,,,,1
"2021-07-07T17:00:00Z","2021-07-07T17:30:00Z",,,,,,,,1
"2021-07-07T17:30:00Z","2021-07-07T18:00:00Z",,,,,,,,1
"2021-07-07T18:00:00Z","2021-07-07T18:30:00Z",,,,,,,,1
"2021-07-07T18:30:00Z","2021-07-07T19:00:00Z",,,,,,,,1
"2021-07-07T19:00:00Z","2021-07-07T19:30:00Z",,,,,,,,1
"2021-07-07T19:30:00Z","2021-07-07T20:00:00Z",,,,,,,,1
"2021-07-07T20:00:00Z","2021-07-07T20:30:00Z",,,,,,,,1
"2021-07-07T20:30:00Z","2021-07-07T21:00:00Z",,,,,,,,1
"2021-07-07T21:00:00Z","2021-07-07T21:30:00Z",,,,,,,,1
"2021-07-07T21:30:00Z","2021-07-07T22:00:00Z",,,,,,,,1
"2021-07-07T22:00:00Z","2021-07-07T22:30:00Z",,,,,,,,1
"2021-07-07T22:30:00Z","2021-07-07T23:00:00Z",,,,,,,,1
"2021-07-07T23:00:00Z","2021-07-07T23:30:00Z",,,,,,,,1
"2021-07-07T23:30:00Z","2021-07-08T00:00:00Z",,,,,,,,1
"2021-07-08T00:00:00Z","2021-07-08T00:30:00Z",,,,,,,,1
"2021-07-08T00:30:00Z","2021-07-08T01:00:00Z",,,,,,,,1
"2021-07-08T01:00:00Z","2021-07-08T01:30:00Z",,,,,,,,1
"2021-07-08T01:30:00Z","2021-07-08T02:00:00Z",,,,,,,,1
"2021-07-08T02:00:00Z","2021-07-08T02:30:00Z",,,,,,,,1
"2021-07-08T02:30:00Z","2021-07-08T03:00:00Z",,,,,,,,1
"2021-07-08T03:00:00Z","2021-07-08T03:30:00Z",,,,,,,,1
"2021-07-08T03:30:00Z","2021-07-08T04:00:00Z",,,,,,,,1
"2021-07-08T04:00:00Z","2021-07-08T04:30:00Z",,,,,,,,1
"2021-07-08T04:30:00Z","2021-07-08T05:00:00Z",,,,,,,,1
"2021-07-08T05:00:00Z","2021-07-08T05:30:00Z",,,,,,,,1
"2021-07-08T05:30:00Z","2021-07-08T06:00:00Z",,,,,,,,1
"2021-07-08T06:00:00Z","2021-07-08T06:30:00Z",,,,,,,,1
"2021-07-08T06:30:00Z","2021-07-08T07:00:00Z",,,,,,,,1
"2021-07-08T07:00:00Z","2021-07-08T07:30:00Z",,,,,,,,1
"2021-07-08T07:30:00Z","2021-07-08T08:00:00Z",,,,,,,,1
"2021-07-08T08:00:00Z","2021-07-08T08:30:00Z",,,,,,,,1
"2021-07-08T08:30:00Z","2021-07-08T09:00:00Z",,,,,,,,1
"2021-07-08T09:00:00Z","2021-07-08T09:30:00Z",,,,,,,,1
"2021-07-08T09:30:00Z","2021-07-08T10:00:00Z",,,,,,,,1
"2021-07-08T10:00:00Z","2021-07-08T10:30:00Z",,,,,,,,1
"2021-07-08T10:30:00Z","2021-07-08T11:00:00Z",,,,,,,,1
"2021-07-08T11:00:00Z","2021-07-08T11:30:00Z",,,,,,,,1
"2021-07-08T11:30:00Z","2021-07-08T12:00:00Z",,,,,,,,1
"2021-07-08T12:00:00Z","2021-07-08T12:30:00Z",,,,,,,,1
"2021-07-08T12:30:00Z","2021-07-08T13:00:00Z",,,,,,,,1
"2021-07-08T13:00:00Z","2021-07-08T13:30:00Z",,,,,,,,1
"2021-07-08T13:30:00Z","2021-07-08T14:00:00Z",,,,,,,,1
"2021-07-08T14:00:00Z","2021-07-08T14:30:00Z",,,,,,,,1
"2021-07-08T14:30:00Z","2021-07-08T15:00:00Z",,,,,,,,1
"2021-07-08T15:00:00Z","2021-07-08T15:30:00Z",,,,,,,,1
"2021-07-08T15:30:00Z","2021-07-08T16:00:00Z",,,,,,,,1
"2021-07-08T16:00:00Z","2021-07-08T16:30:00Z",,,,,,,,1
"2021-07-08T16:30:00Z","2021-07-08T17:00:00Z",,,,,,,,1
"2021-07-08T17:00:00Z","2021-07-08T17:30:00Z",,,,,,,,1
"2021-07-08T17:30:00Z","2021-07-08T18:00:00Z",,,,,,,,1
"2021-07-08T18:00:00Z","2021-07-08T18:30:00Z",,,,,,,,1
"2021-07-08T18:30:00Z","2021-07-08T19:00:00Z",,,,,,,,1
"2021-07-08T19:00:00Z","2021-07-08T19:30:00Z",,,,,,,,1
"2021-07-08T19:30:00Z","2021-07-08T20:00:00Z",,,,,,,,1
"2021-07-08T20:00:00Z","2021-07-08T20:30:00Z",,,,,,,,1
"2021-07-08T20:30:00Z","2021-07-08T21:00:00Z",,,,,,,,1
"2021-07-08T21:00:00Z","2021-07-08T21:30:00Z",,,,,,,,1
"2021-07-08T21:30:00Z","2021-07-08T22:00:00Z",,,,,,,,1
"2021-07-08T22:00:00Z","2021-07-08T22:30:00Z",,,,,,,,1
"2021-07-08T22:30:00Z","2021-07-08T23:00:00Z",,,,,,,,1
"2021-07-08T23:00:00Z","2021-07-08T23:30:00Z",,,,,,,,1
"2021-07-08T23:30:00Z","2021-07-09T00:00:00Z",,,,,,,,1
"2021-07-09T00:00:00Z","2021-07-09T00:30:00Z",,,,,,,,1
"2021-07-09T00:30:00Z","2021-07-09T01:00:00Z",,,,,,,,1
"2021-07-09T01:00:00Z","2021-07-09T01:30:00Z",,,,,,,,1
"2021-07-09T01:30:00Z","2021-07-09T02:00:00Z",,,,,,,,1
"2021-07-09T02:00:00Z","2021-07-09T02:30:00Z",,,,,,,,1
"2021-07-09T02:30:00Z","2021-07-09T03:00:00Z",,,,,,,,1
"2021-07-09T03:00:00Z","2021-07-09T03:30:00Z",,,,,,,,1
"2021-07-09T03:30:00Z","2021-07-09T04:00:00Z",,,,,,,,1
"2021-07-09T04:00:00Z","2021-07-09T04:30:00Z",,,,,,,,1
"2021-07-09T04:30:00Z","2021-07-09T05:00:00Z",,,,,,,,1
"2021-07-09T05:00:00Z","2021-07-09T05:30:00Z",,,,,,,,1
"2021-07-09T05:30:00Z","2021-07-09T06:00:00Z",,,,,,,,1
"2021-07-09T06:00:00Z","2021-07-09T06:30:00Z",,,,,,,,1
"2021-07-09T06:30:00Z","2021-07-09T07:00:00Z",,,,,,,,1
"2021-07-09T07:00:00Z","2021-07-09T07:30:00Z",,,,,,,,1
"2021-07-09T07:30:00Z","2021-07-09T08:00:00Z",,,,,,,,1
"2021-07-09T08:00:00Z","2021-07-09T08:30:00Z",,,,,,,,1
"2021-07-09T08:30:00Z","2021-07-09T09:00:00Z",,,,,,,,1
"2021-07-09T09:00:00Z","2021-07-09T09:30:00Z",,,,,,,,1
"2021-07-09T09:30:00Z","2021-07-09T10:00:00Z",,,,,,,,1
"2021-07-09T10:00:00Z","2021-07-09T10:30:00Z",,,,,,,,1
"2021-07-09T10:30:00Z","2021-07-09T11:00:00Z",,,,,,,,1
"2021-07-09T11:00:00Z","2021-07-09T11:30:00Z",,,,,,,,1
"2021-07-09T11:30:00Z","2021-07-09T12:00:00Z",,,,,,,,1
"2021-07-09T12:00:00Z","2021-07-09T12:30:00Z",,,,,,,,1
"2021-07-09T12:30:00Z","2021-07-09T13:00:00Z",,,,,,,,1
"2021-07-09T13:00:00Z","2021-07-09T13:30:00Z",,,,,,,,1
"2021-07-09T13:30:00Z","2021-07-09T14:00:00Z",,,,,,,,1
"2021-07-09T14:00:00Z","2021-07-09T14:30:00Z",,,,,,,,1
"2021-07-09T14:30:00Z","2021-07-09T15:00:00Z",,,,,,,,1
"2021-07-09T15:00:00Z","2021-07-09T15:30:00Z",,,,,,,,1
"2021-07-09T15:30:00Z","2021-07-09T16:00:00Z",,,,,,,,1
"2021-07-09T16:00:00Z","2021-07-09T16:30:00Z",,,,,,,,1
"2021-07-09T16:30:00Z","2021-07-09T17:00:00Z",,,,,,,,1
"2021-07-09T17:00:00Z","2021-07-09T17:30:00Z",,,,,,,,1
"2021-07-09T17:30:00Z","2021-07-09T18:00:00Z",,,,,,,,1
"2021-07-09T18:00:00Z","2021-07-09T18:30:00Z",,,,,,,,1
"2021-07-09T18:30:00Z","2021-07-09T19:00:00Z",,,,,,,,1
"2021-07-09T19:00:00Z","2021-07-09T19:30:00Z",,,,,,,,1
"2021-07-09T19:30:00Z","2021-07-09T20:00:00Z",,,,,,,,1
"2021-07-09T20:00:00Z","2021-07-09T20:30:00Z",,,,,,,,1
"2021-07-09T20:30:00Z","2021-07-09T21:00:00Z",,,,,,,,1
"2021-07-09T21:00:00Z","2021-07-09T21:30:00Z",,,,,,,,1
"2021-07-09T21:30:00Z","2021-07-09T22:00:00Z",,,,,,,,1
"2021-07-09T22:00:00Z","2021-07-09T22:30:00Z",,,,,,,,1
"2021-07-09T22:30:00Z","2021-07-09T23:00:00Z",,,,,,,,1
"2021-07-09T23:00:00Z","2021-07-09T23:30:00Z",,,,,,,,1
"2021-07-09T23:30:00Z","2021-07-10T00:00:00Z",,,,,,,,1
"2021-07-10T00:00:00Z","2021-07-10T00:30:00Z",,,,,,,,1
"2021-07-10T00:30:00Z","2021-07-10T01:00:00Z",,,,,,,,1
"2021-07-10T01:00:00Z","2021-07-10T01:30:00Z",,,,,,,,1
"2021-07-10T01:30:00Z","2021-07-10T02:00:00Z",,,,,,,,1
"2021-07-10T02:00:00Z","2021-07-10T02:30:00Z",,,,,,,,1
"2021-07-10T02:30:00Z","2021-07-10T03:00:00Z",,,,,,,,1
"2021-07-10T03:00:00Z","2021-07-10T03:30:00Z",,,,,,,,1
"2021-07-10T03:30:00Z","2021-07-10T04:00:00Z",,,,,,,,1
"2021-07-10T04:00:00Z","2021-07-10T04:30:00Z",,,,,,,,1
"2021-07-10T04:30:00Z","2021-07-10T05:00:00Z",,,,,,,,1
"2021-07-10T05:00:00Z","2021-07-10T05:30:00Z",,,,,,,,1
"2021-07-10T05:30:00Z","2021-07-10T06:00:00Z",,,,,,,,1
"2021-07-10T06:00:00Z","2021-07-10T06:30:00Z",,,,,,,,1
"2021-07-10T06:30:00Z","2021-07-10T07:00:00Z",,,,,,,,1
"2021-07-10T07:00:00Z","2021-07-10T07:30:00Z",,,,,,,,1
"2021-07-10T07:30:00Z","2021-07-10T08:00:00Z",,,,,,,,1
"2021-07-10T08:00:00Z","2021-07-10T08:30:00Z",,,,,,,,1
"2021-07-10T08:30:00Z","2021-07-10T09:00:00Z",,,,,,,,1
"2021-07-10T09:00:00Z","2021-07-10T09:30:00Z",,,,,,,,1
"2021-07-10T09:30:00Z","2021-07-10T10:00:00Z",,,,,,,,1
"2021-07-10T10:00:00Z","2021-07-10T10:30:00Z",,,,,,,,1
"2021-07-10T10:30:00Z","2021-07-10T11:00:00Z",,,,,,,,1
"2021-07-10T11:00:00Z","2021-07-10T11:30:00Z",,,,,,,,1
"2021-07-10T11:30:00Z","2021-07-10T12:00:00Z",,,,,,,,1
"2021-07-10T12:00:00Z","2021-07-10T12:30:00Z",,,,,,,,1
"2021-07-10T12:30:00Z","2021-07-10T13:00:00Z",,,,,,,,1
"2021-07-10T13:00:00Z","2021-07-10T13:30:00Z",,,,,,,,1
"2021-07-10T13:30:00Z","2021-07-10T14:00:00Z",,,,,,,,1
"2021-07-10T14:00:00Z","2021-07-10T14:30:00Z",,,,,,,,1
"2021-07-10T14:30:00Z","2021-07-10T15:00:00Z",,,,,,,,1
"2021-07-10T15:00:00Z","2021-07-10T15:30:00Z",,,,,,,,1
"2021-07-10T15:30:00Z","2021-07-10T16:00:00Z",,,,,,,,1
"2021-07-10T16:00:00Z","2021-07-10T16:30:00Z",,,,,,,,1
"2021-07-10T16:30:00Z","2021-07-10T17:00:00Z",,,,,,,,1
"2021-07-10T17:00:00Z","2021-07-10T17:30:00Z",,,,,,,,1
"2021-07-10T17:30:00Z","2021-07-10T18:00:00Z",,,,,,,,1
"2021-07-10T18:00:00Z","2021-07-10T18:30:00Z",,,,,,,,1
"2021-07-10T18:30:00Z","2021-07-10T19:00:00Z",,,,,,,,1
"2021-07-10T19:00:00Z","2021-07-10T19:30:00Z",,,,,,,,1
"2021-07-10T19:30:00Z","2021-07-10T20:00:00Z",,,,,,,,1
"2021-07-10T20:00:00Z","2021-07-10T20:30:00Z",,,,,,,,1
"2021-07-10T20:30:00Z","2021-07-10T21:00:00Z",,,,,,,,1
"2021-07-10T21:00:00Z","2021-07-10T21:30:00Z",,,,,,,,1
"2021-07-10T21:30:00Z","2021-07-10T22:00:00Z",,,,,,,,1
"2021-07-10T22:00:00Z","2021-07-10T22:30:00Z",,,,,,,,1
"2021-07-10T22:30:00Z","2021-07-10T23:00:00Z",,,,,,,,1
"2021-07-10T23:00:00Z","2021-07-10T23:30:00Z",,,,,,,,1
"2021-07-10T23:30:00Z","2021-07-11T00:00:00Z",,,,,,,,1
"2021-07-11T00:00:00Z","2021-07-11T00:30:00Z",,,,,,,,1
"2021-07-11T00:30:00Z","2021-07-11T01:00:00Z",,,,,,,,1
"2021-07-11T01:00:00Z","2021-07-11T01:30:00Z",,,,,,,,1
"2021-07-11T01:30:00Z","2021-07-11T02:00:00Z",,,,,,,,1
"2021-07-11T02:00:00Z","2021-07-11T02:30:00Z",,,,,,,,1
"2021-07-11T02:30:00Z","2021-07-11T03:00:00Z",,,,,,,,1
"2021-07-11T03:00:00Z","2021-07-11T03:30:00Z",,,,,,,,1
"2021-07-11T03:30:00Z","2021-07-11T04:00:00Z",,,,,,,,1
"2021-07-11T04:00:00Z","2021-07-11T04:30:00Z",,,,,,,,1
"2021-07-11T04:30:00Z","2021-07-11T05:00:00Z",,,,,,,,1
"2021-07-11T05:00:00Z","2021-07-11T05:30:00Z",,,,,,,,1
"2021-07-11T05:30:00Z","2021-07-11T06:00:00Z",,,,,,,,1
"2021-07-11T06:00:00Z","2021-07-11T06:30:00Z",,,,,,,,1
"2021-07-11T06:30:00Z","2021-07-11T07:00:00Z",,,,,,,,1
"2021-07-11T07:00:00Z","2021-07-11T07:30:00Z",,,,,,,,1
"2021-07-11T07:30:00Z","2021-07-11T08:00:00Z",,,,,,,,1
"2021-07-11T08:00:00Z","2021-07-11T08:30:00Z",,,,,,,,1
"2021-07-11T08:30:00Z","2021-07-11T09:00:00Z",,,,,,,,1
"2021-07-11T09:00:00Z","2021-07-11T09:30:00Z",,,,,,,,1
"2021-07-11T09:30:00Z","2021-07-11T10:00:00Z",,,,,,,,1
"2021-07-11T10:00:00Z","2021-07-11T10:30:00Z",,,,,,,,1
"2021-07-11T10:30:00Z","2021-07-11T11:00:00Z",,,,,,,,1
"2021-07-11T11:00:00Z","2021-07-11T11:30:00Z",,,,,,,,1
"2021-07-11T11:30:00Z","2021-07-11T12:00:00Z",,,,,,,,1
"2021-07-11T12:00:00Z","2021-07-11T12:30:00Z",,,,,,,,1
"2021-07-11T12:30:00Z","2021-07-11T13:00:00Z",,,,,,,,1
"2021-07-11T13:00:00Z","2021-07-11T13:30:00Z",,,,,,,,1
"2021-07-11T13:30:00Z","2021-07-11T14:00:00Z",,,,,,,,1
"2021-07-11T14:00:00Z","2021-07-11T14:30:00Z",,,,,,,,1
"2021-07-11T14:30:00Z","2021-07-11T15:00:00Z",,,,,,,,1
"2021-07-11T15:00:00Z","2021-07-11T15:30:00Z",,,,,,,,1
"2021-07-11T15:30:00Z","2021-07-11T16:00:00Z",,,,,,,,1
"2021-07-11T16:00:00Z","2021-07-11T16:30:00Z",,,,,,,,1
"2021-07-11T16:30:00Z","2021-07-11T17:00:00Z",,,,,,,,1
"2021-07-11T17:00:00Z","2021-07-11T17:30:00Z",,,,,,,,1
"2021-07-11T17:30:00Z","2021-07-11T18:00:00Z",,,,,,,,1
"2021-07-11T18:00:00Z","2021-07-11T18:30:00Z",,,,,,,,1
"2021-07-11T18:30:00Z","2021-07-11T19:00:00Z",,,,,,,,1
"2021-07-11T19:00:00Z","2021-07-11T19:30:00Z",,,,,,,,1
"2021-07-11T19:30:00Z","2021-07-11T20:00:00Z",,,,,,,,1
"2021-07-11T20:00:00Z","2021-07-11T20:30:00Z",,,,,,,,1
"2021-07-11T20:30:00Z","2021-07-11T21:00:00Z",,,,,,,,1
"2021-07-11T21:00:00Z","2021-07-11T21:30:00Z",,,,,,,,1
"2021-07-11T21:30:00Z","2021-07-11T22:00:00Z",,,,,,,,1
"2021-07-11T22:00:00Z","2021-07-11T22:30:00Z",,,,,,,,1
"2021-07-11T22:30:00Z","2021-07-11T23:00:00Z",,,,,,,,1
"2021-07-11T23:00:00Z","2021-07-11T23:30:00Z",,,,,,,,1
"2021-07-11T23:30:00Z","2021-07-12T00:00:00Z",,,,,,,,1
"2021-07-12T00:00:00Z","2021-07-12T00:30:00Z",,,,,,,,1
"2021-07-12T00:30:00Z","2021-07-12T01:00:00Z",,,,,,,,1
"2021-07-12T01:00:00Z","2021-07-12T01:30:00Z",,,,,,,,1
"2021-07-12T01:30:00Z","2021-07-12T02:00:00Z",,,,,,,,1
"2021-07-12T02:00:00Z","2021-07-12T02:30:00Z",,,,,,,,1
"2021-07-12T02:30:00Z","2021-07-12T03:00:00Z",,,,,,,,1
"2021-07-12T03:00:00Z","2021-07-12T03:30:00Z",,,,,,,,1
"2021-07-12T03:30:00Z","2021-07-12T04:00:00Z",,,,,,,,1
"2021-07-12T04:00:00Z","2021-07-12T04:30:00Z",,,,,,,,1
"2021-07-12T04:30:00Z","2021-07-12T05:00:00Z",,,,,,,,1
"2021-07-12T05:00:00Z","2021-07-12T05:30:00Z",,,,,,,,1
"2021-07-12T05:30:00Z","2021-07-12T06:00:00Z",,,,,,,,1
"2021-07-12T06:00:00Z","2021-07-12T06:30:00Z",,,,,,,,1
"2021-07-12T06:30:00Z","2021-07-12T07:00:00Z",,,,,,,,1
"2021-07-12T07:00:00Z","2021-07-12T07:30:00Z",,,,,,,,1
"2021-07-12T07:30:00Z","2021-07-12T08:00:00Z",,,,,,,,1
"2021-07-12T08:00:00Z","2021-07-12T08:30:00Z",,,,,,,,1
"2021-07-12T08:30:00Z","2021-07-12T09:00:00Z",,,,,,,,1
"2021-07-12T09:00:00Z","2021-07-12T09:30:00Z",,,,,,,,1
"2021-07-12T09:30:00Z","2021-07-12T10:00:00Z",,,,,,,,1
"2021-07-12T10:00:00Z","2021-07-12T10:30:00Z",,,,,,,,1
"2021-07-12T10:30:00Z","2021-07-12T11:00:00Z",,,,,,,,1
"2021-07-12T11:00:00Z","2021-07-12T11:30:00Z",,,,,,,,1
"2021-07-12T11:30:00Z","2021-07-12T12:00:00Z",,,,,,,,1
"2021-07-12T12:00:00Z","2021-07-12T12:30:00Z",,,,,,,,1
"2021-07-12T12:30:00Z","2021-07-12T13:00:00Z",,,,,,,,1
"2021-07-12T13:00:00Z","2021-07-12T13:30:00Z",,,,,,,,1
"2021-07-12T13:30:00Z","2021-07-12T14:00:00Z",,,,,,,,1
"2021-07-12T14:00:00Z","2021-07-12T14:30:00Z",,,,,,,,1
"2021-07-12T14:30:00Z","2021-07-12T15:00:00Z",,,,,,,,1
"2021-07-12T15:00:00Z","2021-07-12T15:30:00Z",,,,,,,,1
"2021-07-12T15:30:00Z","2021-07-12T16:00:00Z",,,,,,,,1
"2021-07-12T16:00:00Z","2021-07-12T16:30:00Z",,,,,,,,1
"2021-07-12T16:30:00Z","2021-07-12T17:00:00Z",,,,,,,,1
"2021-07-12T17:00:00Z","2021-07-12T17:30:00Z",,,,,,,,1
"2021-07-12T17:30:00Z","2021-07-12T18:00:00Z",,,,,,,,1
"2021-07-12T18:00:00Z","2021-07-12T18:30:00Z",,,,,,,,1
"2021-07-12T18:30:00Z","2021-07-12T19:00:00Z",,,,,,,,1
"2021-07-12T19:00:00Z","2021-07-12T19:30:00Z",,,,,,,,1
"2021-07-12T19:30:00Z","2021-07-12T20:00:00Z",,,,,,,,1
"2021-07-12T20:00:00Z","2021-07-12T20:30:00Z",,,,,,,,1
"2021-07-12T20:30:00Z","2021-07-12T21:00:00Z",,,,,,,,1
"2021-07-12T21:00:00Z","2021-07-12T21:30:00Z",,,,,,,,1
"2021-07-12T21:30:00Z","2021-07-12T22:00:00Z",,,,,,,,1
"2021-07-12T22:00:00Z","2021-07-12T22:30:00Z",,,,,,,,1
"2021-07-12T22:30:00Z","2021-07-12T23:00:00Z",,,,,,,,1
"2021-07-12T23:00:00Z","2021-07-12T23:30:00Z",,,,,,,,1
